url_1,url_2,tfidf_similarity,jaccard_similarity,риск
https://kotofoto.ru/moskva/shop/uid_633326_videokarta_biostar_rx6650xt_8gb_va6656tm81.html,https://kotofoto.ru/moskva/shop/uid_633326_videokarta_biostar_rx6650xt_8gb_va6656tm81.html,100.0%,100.0%,🔴 КАННИБАЛИЗАЦИЯ
https://kotofoto.ru/moskva/shop/uid_585329_umnye_chasy_apple_watch_series_8_45mm_sport_m_l_mnuq3ll_a_starlight.html,https://kotofoto.ru/moskva/shop/uid_619621_umnye_chasy_apple_watch_series_8_45mm_m_l_mp6q3ll_a_silver.html,91.1%,39.3%,🔴 КАННИБАЛИЗАЦИЯ
https://kotofoto.ru/moskva/shop/uid_466881_videokarta_gigabyte_gt_1030_2gb_gv_n1030d4_2gl.html,https://kotofoto.ru/moskva/shop/uid_253228_videokarta_palit_gt1030_2gd4_nec103000646_1082f.html,76.5%,40.3%,🟡 ОЧЕНЬ ПОХОЖИ
https://kotofoto.ru/moskva/shop/uid_717799_videokarta_gigabyte_rtx5060ti_windforce_max_oc_16gb_gddr7_128bit_gv_n506twf2max_oc_16gd.html,https://kotofoto.ru/moskva/shop/uid_717800_videokarta_gigabyte_rtx5060ti_windforce_max_oc_8gb_gddr7_128bit_gv_n506twf2max_oc_8gd.html,75.0%,26.8%,🟡 ОЧЕНЬ ПОХОЖИ
https://kotofoto.ru/moskva/shop/uid_633450_videokarta_asrock_radeon_rx_7600_challenger_8g_oc_rx7600_cl_8go.html,https://kotofoto.ru/moskva/shop/uid_638452_videokarta_asrock_radeon_rx_7600_steel_legend_8g_rx7600_sl_8go.html,72.1%,28.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_582997_videokarta_nvidia_pcie16_t1000_8gb_gddr6_blk_900_5g172_2270_000.html,https://kotofoto.ru/moskva/shop/uid_571566_videokarta_nvidia_t1000_4gb_gddr6_900_5g172_2250_000.html,71.6%,37.0%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_582986_videokarta_nvidia_pcie16_rtx_a4000_16gb_box_900_5g190_2500_000.html,https://kotofoto.ru/moskva/shop/uid_582986_videokarta_nvidia_pcie16_rtx_a4000_16gb_box_900_5g190_2500_000.html,71.3%,23.2%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_633234_videokarta_matrox_mura_mpx42hf_2gb1.html,https://kotofoto.ru/moskva/shop/uid_633235_videokarta_matrox_mura_mpx40hf_2gb1.html,69.7%,33.2%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717788_videokarta_gigabyte_rtx5060_oc_low_profile_8gb_gddr7_128bit_gv_n5060oc_8gl.html,https://kotofoto.ru/moskva/shop/uid_717850_videokarta_zotac_rtx5060_low_profile_8gb_gddr7_zt_b50600l_10l.html,69.6%,36.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_701522_smartfon_samsung_galaxy_a36_5g_8_128gb_sm_a366ezadcau_grey.html,https://kotofoto.ru/moskva/shop/uid_701555_smartfon_samsung_galaxy_a56_5g_8_128gb_sm_a566ezkacau_graphite.html,69.5%,24.4%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_210992_detskie_umnye_chasy_smart_baby_watch_q50_zelenye.html,https://kotofoto.ru/moskva/shop/uid_625490_detskie_umnye_chasy_aimoto_trend_black.html,69.3%,24.1%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_583409_videokarta_msi_geforce_gt_730_2048mb_64_gddr3_ret_n730_2gd3v3.html,https://kotofoto.ru/moskva/shop/uid_603546_videokarta_afox_gt_730_2gb_af730_2048d3l6.html,69.3%,37.9%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_633232_videokarta_matrox_mura_mpx44hf_2gb1.html,https://kotofoto.ru/moskva/shop/uid_633234_videokarta_matrox_mura_mpx42hf_2gb1.html,68.7%,24.0%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_706522_videokarta_msi_rtx5080_shadow_3x_oc_16gb_gddr7_256bit_3xdp_hdmi_3fan_rtl.html,https://kotofoto.ru/moskva/shop/uid_718475_videokarta_msi_rtx5070ti_shadow_3x_oc_16gb_gddr7_rtx_5070_ti_16g_shadow_3x_oc.html,68.4%,28.8%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_210992_detskie_umnye_chasy_smart_baby_watch_q50_zelenye.html,https://kotofoto.ru/moskva/shop/uid_611359_smart_chasy_inoi_kids_watch_lite_green.html,68.4%,20.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_467999_setevoe_hranilische_synology_rs4021xs.html,https://kotofoto.ru/moskva/shop/uid_586057_setevoe_hranilische_synology_rack2u_rs3621rpxs.html,67.8%,31.7%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_675098_videokarta_biostar_nvidia_geforce_gt710_2gb_d3_lp_vn7103thx6.html,https://kotofoto.ru/moskva/shop/uid_675098_videokarta_biostar_nvidia_geforce_gt710_2gb_d3_lp_vn7103thx6.html,67.3%,23.8%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_678987_smartfon_apple_iphone_16_128gb_myec3hn_a_ultramarine.html,https://kotofoto.ru/moskva/shop/uid_678988_smartfon_apple_iphone_16_128gb_myed3hn_a_teal.html,66.7%,23.9%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_583355_videokarta_gigabyte_intel_arc_a380_6144mb_96_gddr6_ret_gv_ia380gaming_oc_6gd.html,https://kotofoto.ru/moskva/shop/uid_583355_videokarta_gigabyte_intel_arc_a380_6144mb_96_gddr6_ret_gv_ia380gaming_oc_6gd.html,66.7%,26.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717791_videokarta_gigabyte_rtx5060ti_eagle_oc_16gb_gddr7_128_bit_gv_n506teagle_oc_16gd.html,https://kotofoto.ru/moskva/shop/uid_717792_videokarta_gigabyte_rtx5060ti_eagle_oc_8gb_gddr7_128bit_gv_n506teagle_oc_8gd.html,66.7%,30.3%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_316409_printer_lazerniy_pantum_p2207.html,https://kotofoto.ru/moskva/shop/uid_269141_mfu_hp_color_laser_mfp_178nw.html,65.8%,13.0%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_595110_videokarta_afox_geforce_gt_730_4096mb_atx_single_fan_af730_4096d5h5.html,https://kotofoto.ru/moskva/shop/uid_603546_videokarta_afox_gt_730_2gb_af730_2048d3l6.html,65.7%,30.7%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_317250_mfu_lazernoe_pantum_m6507w_seriy.html,https://kotofoto.ru/moskva/shop/uid_269140_mfu_hp_color_laser_mfp_179fnw.html,65.5%,18.8%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_661446_videokarta_zotac_gt1030_2gb_gddr5_zt_p10300a_10l.html,https://kotofoto.ru/moskva/shop/uid_582984_videokarta_afox_pcie16_gt1030_2gb_gddr5_af1030_2048d5l7.html,65.4%,32.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_661446_videokarta_zotac_gt1030_2gb_gddr5_zt_p10300a_10l.html,https://kotofoto.ru/moskva/shop/uid_253228_videokarta_palit_gt1030_2gd4_nec103000646_1082f.html,65.3%,32.3%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_705070_smartfon_realme_note_60x_4_128gb_green.html,https://kotofoto.ru/moskva/shop/uid_681577_smartfon_realme_note_60x_3_64gb_green.html,65.1%,36.0%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_595110_videokarta_afox_geforce_gt_730_4096mb_atx_single_fan_af730_4096d5h5.html,https://kotofoto.ru/moskva/shop/uid_595110_videokarta_afox_geforce_gt_730_4096mb_atx_single_fan_af730_4096d5h5.html,64.7%,26.3%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_706497_videokarta_afox_gtx1660ti_6gb_gddr6_192bit_dp_dvi_d_hdmi_2fan_rtl_10.html,https://kotofoto.ru/moskva/shop/uid_714747_videokarta_biostar_pci_e_3_0_vn1666tf69_6gb.html,64.6%,33.1%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717801_videokarta_gigabyte_rtx5060ti_windforce_oc_16gb_gddr7_128bit_gv_n506twf2oc_16gd.html,https://kotofoto.ru/moskva/shop/uid_717802_videokarta_gigabyte_rtx5060ti_windforce_oc_8gb_gddr7_128bit_gv_n506twf2oc_8gd.html,64.4%,29.7%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_317250_mfu_lazernoe_pantum_m6507w_seriy.html,https://kotofoto.ru/moskva/shop/uid_269141_mfu_hp_color_laser_mfp_178nw.html,64.2%,16.3%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_708316_smartfon_tecno_pova_7_pro_5g_12_256gb_black.html,https://kotofoto.ru/moskva/shop/uid_701555_smartfon_samsung_galaxy_a56_5g_8_128gb_sm_a566ezkacau_graphite.html,64.2%,19.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717852_videokarta_zotac_rtx5060_twin_edge_oc_white_ed_8gb_gddr7_zt_b50600q_10m.html,https://kotofoto.ru/moskva/shop/uid_718810_videokarta_zotac_rtx5060_twin_edge_oc_8gb_gddr7_zt_b50600e_10m.html,64.0%,24.9%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_419610_nakopitel_ssd_samsung_1tb_870_evo_mz_77e1t0bw.html,https://kotofoto.ru/moskva/shop/uid_418557_nakopitel_ssd_samsung_870_evo_250gb_mz_77e250bw.html,64.0%,28.0%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_317250_mfu_lazernoe_pantum_m6507w_seriy.html,https://kotofoto.ru/moskva/shop/uid_316409_printer_lazerniy_pantum_p2207.html,63.9%,27.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717787_videokarta_gigabyte_rtx5060_eagle_oc_8gb_gddr7_128bit_gv_n5060eagle_oc_8gd.html,https://kotofoto.ru/moskva/shop/uid_717792_videokarta_gigabyte_rtx5060ti_eagle_oc_8gb_gddr7_128bit_gv_n506teagle_oc_8gd.html,63.9%,30.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_633232_videokarta_matrox_mura_mpx44hf_2gb1.html,https://kotofoto.ru/moskva/shop/uid_633235_videokarta_matrox_mura_mpx40hf_2gb1.html,63.9%,23.3%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717791_videokarta_gigabyte_rtx5060ti_eagle_oc_16gb_gddr7_128_bit_gv_n506teagle_oc_16gd.html,https://kotofoto.ru/moskva/shop/uid_717787_videokarta_gigabyte_rtx5060_eagle_oc_8gb_gddr7_128bit_gv_n5060eagle_oc_8gd.html,63.8%,29.0%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_582984_videokarta_afox_pcie16_gt1030_2gb_gddr5_af1030_2048d5l7.html,https://kotofoto.ru/moskva/shop/uid_253228_videokarta_palit_gt1030_2gd4_nec103000646_1082f.html,63.7%,33.5%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_582984_videokarta_afox_pcie16_gt1030_2gb_gddr5_af1030_2048d5l7.html,https://kotofoto.ru/moskva/shop/uid_466881_videokarta_gigabyte_gt_1030_2gb_gv_n1030d4_2gl.html,63.2%,36.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_695101_videokarta_nvidia_rtx6000_ada_graphic_card_pn_900_5g133_2250_000.html,https://kotofoto.ru/moskva/shop/uid_695101_videokarta_nvidia_rtx6000_ada_graphic_card_pn_900_5g133_2250_000.html,62.9%,22.4%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_661446_videokarta_zotac_gt1030_2gb_gddr5_zt_p10300a_10l.html,https://kotofoto.ru/moskva/shop/uid_466881_videokarta_gigabyte_gt_1030_2gb_gv_n1030d4_2gl.html,62.3%,29.7%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717796_videokarta_gigabyte_rtx5060ti_gaming_oc_16gb_gddr7_128bit_gv_n506tgaming_oc_16gd.html,https://kotofoto.ru/moskva/shop/uid_718473_videokarta_msi_rtx5060ti_gaming_trio_oc_16gb_gddr7_rtx_5060_ti_16g_gaming_trio_oc.html,62.2%,28.7%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_708316_smartfon_tecno_pova_7_pro_5g_12_256gb_black.html,https://kotofoto.ru/moskva/shop/uid_701522_smartfon_samsung_galaxy_a36_5g_8_128gb_sm_a366ezadcau_grey.html,62.1%,20.7%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717796_videokarta_gigabyte_rtx5060ti_gaming_oc_16gb_gddr7_128bit_gv_n506tgaming_oc_16gd.html,https://kotofoto.ru/moskva/shop/uid_717801_videokarta_gigabyte_rtx5060ti_windforce_oc_16gb_gddr7_128bit_gv_n506twf2oc_16gd.html,62.0%,28.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_661446_videokarta_zotac_gt1030_2gb_gddr5_zt_p10300a_10l.html,https://kotofoto.ru/moskva/shop/uid_661446_videokarta_zotac_gt1030_2gb_gddr5_zt_p10300a_10l.html,61.8%,26.8%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_595110_videokarta_afox_geforce_gt_730_4096mb_atx_single_fan_af730_4096d5h5.html,https://kotofoto.ru/moskva/shop/uid_583409_videokarta_msi_geforce_gt_730_2048mb_64_gddr3_ret_n730_2gd3v3.html,61.8%,26.3%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_583409_videokarta_msi_geforce_gt_730_2048mb_64_gddr3_ret_n730_2gd3v3.html,https://kotofoto.ru/moskva/shop/uid_595110_videokarta_afox_geforce_gt_730_4096mb_atx_single_fan_af730_4096d5h5.html,61.7%,30.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_641788_videokarta_afox_gtx1660ti_6gb_gddr6_af1660ti_6144d6h1_v3.html,https://kotofoto.ru/moskva/shop/uid_706497_videokarta_afox_gtx1660ti_6gb_gddr6_192bit_dp_dvi_d_hdmi_2fan_rtl_10.html,61.5%,25.1%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_638452_videokarta_asrock_radeon_rx_7600_steel_legend_8g_rx7600_sl_8go.html,https://kotofoto.ru/moskva/shop/uid_638458_videokarta_asrock_rx7700xt_challenger_12gb_rx7700xt_cl_12go.html,61.5%,27.5%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_611359_smart_chasy_inoi_kids_watch_lite_green.html,https://kotofoto.ru/moskva/shop/uid_625490_detskie_umnye_chasy_aimoto_trend_black.html,61.5%,19.0%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717791_videokarta_gigabyte_rtx5060ti_eagle_oc_16gb_gddr7_128_bit_gv_n506teagle_oc_16gd.html,https://kotofoto.ru/moskva/shop/uid_717801_videokarta_gigabyte_rtx5060ti_windforce_oc_16gb_gddr7_128bit_gv_n506twf2oc_16gd.html,61.2%,29.2%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_641788_videokarta_afox_gtx1660ti_6gb_gddr6_af1660ti_6144d6h1_v3.html,https://kotofoto.ru/moskva/shop/uid_696354_videokarta_ninja_sinotex_ninja_gtx1660ti_6gb_192bit_gddr6_nk166ti66f.html,61.2%,23.3%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_678627_smartfon_nothing_cmf_phone_1_8_128gb_black.html,https://kotofoto.ru/moskva/shop/uid_701555_smartfon_samsung_galaxy_a56_5g_8_128gb_sm_a566ezkacau_graphite.html,61.2%,19.1%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717849_videokarta_zotac_rtx5060_amp_8gb_gddr7_zt_b50600f_10m.html,https://kotofoto.ru/moskva/shop/uid_718811_videokarta_zotac_rtx5060ti_amp_8gb_gddr7_zt_b50610f_10m.html,61.0%,20.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_317250_mfu_lazernoe_pantum_m6507w_seriy.html,https://kotofoto.ru/moskva/shop/uid_169928_mfu_kyocera_m2135dn.html,61.0%,19.8%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_485487_monitor_aoc_31_5_q32v4_ips_ledl_black_red_q32v4.html,https://kotofoto.ru/moskva/shop/uid_643711_monitor_xiaomi_27_a27i_black_ela5345eu.html,61.0%,23.8%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_583409_videokarta_msi_geforce_gt_730_2048mb_64_gddr3_ret_n730_2gd3v3.html,https://kotofoto.ru/moskva/shop/uid_603546_videokarta_afox_gt_730_2gb_af730_2048d3l6.html,60.9%,27.8%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_583409_videokarta_msi_geforce_gt_730_2048mb_64_gddr3_ret_n730_2gd3v3.html,https://kotofoto.ru/moskva/shop/uid_583409_videokarta_msi_geforce_gt_730_2048mb_64_gddr3_ret_n730_2gd3v3.html,60.8%,26.6%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_661448_videokarta_afox_gtx1650_4gb_gaming_af1650_4096d6h1_v8.html,https://kotofoto.ru/moskva/shop/uid_717640_videokarta_afox_gtx1650_gaming_4gb_af1650_4096d6h3_v6.html,60.8%,24.0%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717792_videokarta_gigabyte_rtx5060ti_eagle_oc_8gb_gddr7_128bit_gv_n506teagle_oc_8gd.html,https://kotofoto.ru/moskva/shop/uid_717801_videokarta_gigabyte_rtx5060ti_windforce_oc_16gb_gddr7_128bit_gv_n506twf2oc_16gd.html,60.7%,36.8%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_707516_umnye_chasy_xiaomi_smart_band_10_bhr07pygl_midnight_black.html,https://kotofoto.ru/moskva/shop/uid_707517_umnye_chasy_xiaomi_smart_band_10_bhr07psgl_glacier_silver.html,60.6%,31.9%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_717792_videokarta_gigabyte_rtx5060ti_eagle_oc_8gb_gddr7_128bit_gv_n506teagle_oc_8gd.html,https://kotofoto.ru/moskva/shop/uid_717794_videokarta_gigabyte_rtx5060ti_eagle_oc_ice_8gb_gddr7_128bit_gv_n506teagleoc_ice_8gd.html,60.6%,23.4%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_696353_videokarta_ninja_sinotex_ninja_gtx1660super_nk166sf66f_6gb_192bit_gddr6.html,https://kotofoto.ru/moskva/shop/uid_696354_videokarta_ninja_sinotex_ninja_gtx1660ti_6gb_192bit_gddr6_nk166ti66f.html,60.6%,26.7%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_269140_mfu_hp_color_laser_mfp_179fnw.html,https://kotofoto.ru/moskva/shop/uid_169928_mfu_kyocera_m2135dn.html,60.5%,20.7%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_595110_videokarta_afox_geforce_gt_730_4096mb_atx_single_fan_af730_4096d5h5.html,https://kotofoto.ru/moskva/shop/uid_583409_videokarta_msi_geforce_gt_730_2048mb_64_gddr3_ret_n730_2gd3v3.html,60.3%,26.4%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_708406_smartfon_realme_gt_7_12_512gb_blue.html,https://kotofoto.ru/moskva/shop/uid_701522_smartfon_samsung_galaxy_a36_5g_8_128gb_sm_a366ezadcau_grey.html,60.3%,15.4%,🟢 НОРМА
https://kotofoto.ru/moskva/shop/uid_713860_smartfon_xiaomi_15t_12_512gb_black.html,https://kotofoto.ru/moskva/shop/uid_701555_smartfon_samsung_galaxy_a56_5g_8_128gb_sm_a566ezkacau_graphite.html,60.1%,18.1%,🟢 НОРМА
